,index,eventId,seriesId,matchId,teamId,teamName,map,oppTeamId,oppTeamName,teamScore,atkFirst,won,acs,kills,firstKills,deaths,firstDeaths,assists,damage,headshots,bodyshots,legshots,plants,defusals,clutches,clutchOpponents,clutchOpportunities,KDR,KD,FKD,KDA,spentCreds,loadoutValue,avgEconRating,dates
382,383,566,14128,28958,697,RESO,Breeze,2964,UNNAMED,13,0,1,249.4875,74,7,41,9,19,146.075,50,165,26,4,4,2,10,5,1.8048780487804879,33,-2,74.46341463414635,2316.25,3860.625,63.06529951430114,2021-07-01
394,395,566,14153,29033,3529,UNNAMED,Ascent,2951,FIU,11,1,0,212.49166666666667,89,14,85,10,25,128.23333333333332,69,201,24,6,2,1,40,14,1.0470588235294118,4,4,89.29411764705883,2435.8333333333335,3484.1666666666665,52.64454327745466,2021-07-01
234,234,566,14150,29025,617,FAZE,Icebox,3397,UNNAMED,13,0,1,217.20909090909092,82,7,77,15,26,132.94545454545454,62,189,15,7,3,2,37,11,1.0649350649350648,5,-8,82.33766233766234,2565.909090909091,3630.0,51.812223206377325,2021-07-01
233,233,566,14150,29024,3397,UNNAMED,Ascent,617,FAZE,13,0,1,196.36190476190475,72,9,72,12,30,123.23809523809524,56,194,21,7,3,3,35,11,1.0,0,-3,72.41666666666667,2530.9523809523807,3688.5714285714284,48.69238005644403,2021-07-01
232,232,566,14150,29024,617,FAZE,Ascent,3397,UNNAMED,8,1,0,190.83809523809524,72,12,72,9,28,114.51428571428572,46,174,13,9,0,0,32,11,1.0,0,3,72.38888888888889,2208.095238095238,3521.904761904762,51.861117101574294,2021-07-01
136,136,566,14238,29282,868,OOK,Bind,2930,UNNAMED,13,0,1,213.22857142857143,80,13,67,8,31,137.75238095238095,48,186,19,7,2,2,27,9,1.1940298507462686,13,5,80.46268656716418,2511.904761904762,3778.5714285714284,54.839810426540275,2021-07-01
137,137,566,14238,29282,2930,UNNAMED,Bind,868,OOK,8,1,0,184.86666666666667,67,8,80,13,23,115.4952380952381,56,142,8,6,1,0,45,13,0.8375,-13,-5,67.2875,2535.714285714286,3365.2380952380954,45.54741784037559,2021-07-01
138,138,566,14238,29283,868,OOK,Ascent,2930,UNNAMED,10,1,0,203.18260869565216,80,13,82,10,30,125.68695652173913,56,224,15,9,0,0,41,13,0.975609756097561,-2,3,80.36585365853658,2395.217391304348,3552.608695652174,52.47413323652205,2021-07-01
139,139,566,14238,29283,2930,UNNAMED,Ascent,868,OOK,13,0,1,203.45217391304348,82,10,80,13,35,124.3391304347826,56,233,24,8,1,3,40,13,1.025,2,-3,82.4375,2576.086956521739,3632.1739130434785,48.266666666666666,2021-07-01
140,140,566,14238,29284,868,OOK,Split,2930,UNNAMED,7,0,0,184.79,63,8,76,12,17,106.05,36,161,12,5,2,2,34,13,0.8289473684210527,-13,-4,63.223684210526315,2461.0,3747.0,43.09223892726534,2021-07-01
141,141,566,14238,29284,2930,UNNAMED,Split,868,OOK,13,1,1,211.27,76,12,63,8,29,126.36,55,194,21,10,2,3,27,9,1.2063492063492063,13,4,76.46031746031746,2332.5,3644.0,54.17363344051447,2021-07-01
142,142,566,14194,29156,1137,VIRT,Ascent,3700,FNR,13,1,1,203.34285714285716,79,13,59,9,30,122.23809523809524,43,175,12,7,1,0,29,8,1.3389830508474576,20,4,79.50847457627118,2328.095238095238,3979.0476190476193,52.505624872161995,2021-07-01
143,143,566,14194,29156,3700,FNR,Ascent,1137,VIRT,8,0,0,169.86666666666667,59,9,79,13,19,107.60952380952381,46,121,13,2,3,0,52,13,0.7468354430379747,-20,-4,59.24050632911393,2391.4285714285716,3244.285714285714,44.99800876144962,2021-07-01
144,144,566,14194,29157,1137,VIRT,Bind,3700,FNR,10,0,0,185.4608695652174,72,11,87,12,19,122.09565217391304,57,174,10,7,2,2,43,14,0.8275862068965517,-15,-1,72.2183908045977,2460.0,3382.608695652174,49.632378932484976,2021-07-01
145,145,566,14194,29157,3700,FNR,Bind,1137,VIRT,13,1,1,205.4,87,12,72,11,25,128.35652173913044,53,190,19,10,1,3,34,13,1.2083333333333333,15,1,87.34722222222223,2534.3478260869565,3464.3478260869565,50.64676616915423,2021-07-01
146,146,566,14194,29158,1137,VIRT,Breeze,3700,FNR,13,1,1,222.91666666666666,91,10,86,14,28,139.11666666666667,61,153,12,9,1,0,39,11,1.058139534883721,5,-4,91.32558139534883,2506.6666666666665,3792.0833333333335,55.498670212765965,2021-07-01
147,147,566,14194,29158,3700,FNR,Breeze,1137,VIRT,11,0,0,204.525,86,14,91,10,19,123.7,60,149,12,5,4,4,47,17,0.945054945054945,-5,4,86.20879120879121,2621.25,3912.5,47.19122556032428,2021-07-01
148,148,566,14185,29129,379,COL,Icebox,3978,UNNAMED,13,0,1,266.4769230769231,67,12,24,1,16,171.13846153846154,56,94,12,1,3,0,0,0,2.7916666666666665,43,11,67.66666666666667,1935.3846153846155,4174.615384615385,88.42607313195548,2021-07-01
149,149,566,14185,29129,3978,UNNAMED,Icebox,379,COL,0,1,0,126.29230769230769,24,1,67,12,11,74.3076923076923,16,64,8,3,0,0,51,13,0.3582089552238806,-43,-11,24.16417910447761,2569.230769230769,2844.6153846153848,28.92215568862276,2021-07-01
150,150,566,14185,29130,379,COL,Split,3978,UNNAMED,13,1,1,239.825,70,9,40,7,21,147.1375,42,199,28,11,1,1,12,4,1.75,30,2,70.525,2013.125,3601.875,73.08910276311704,2021-07-01
151,151,566,14185,29130,3978,UNNAMED,Split,379,COL,3,0,0,157.75,40,7,70,9,15,91.5,32,126,26,3,0,0,48,13,0.5714285714285714,-30,-2,40.214285714285715,2563.75,3031.875,35.68990736226231,2021-07-01
152,152,566,14190,29144,2411,AI,Haven,543,UNNAMED,13,1,1,222.8761904761905,84,14,71,7,23,143.38095238095238,67,152,13,10,1,3,29,11,1.1830985915492958,13,7,84.32394366197182,2561.4285714285716,3636.6666666666665,55.97694738799033,2021-07-01
153,153,566,14190,29144,543,UNNAMED,Haven,2411,AI,8,0,0,198.01904761904763,71,7,84,14,31,129.42857142857142,53,176,21,4,3,0,43,13,0.8452380952380952,-13,-7,71.36904761904762,2497.1428571428573,3211.904761904762,51.83066361556063,2021-07-01
154,154,566,14190,29145,2411,AI,Ascent,543,UNNAMED,13,0,1,232.7,83,11,59,9,27,142.51,61,188,14,5,2,2,23,9,1.4067796610169492,24,2,83.45762711864407,2170.5,3715.0,65.65768256162174,2021-07-01
155,155,566,14190,29145,543,UNNAMED,Ascent,2411,AI,7,1,0,171.05,59,9,83,11,20,102.19,32,160,27,6,0,2,50,15,0.7108433734939759,-24,-2,59.24096385542169,2632.5,3216.0,38.81861348528015,2021-07-01
156,156,566,14184,29126,697,RESO,Breeze,863,YFP,10,0,0,186.7478260869565,72,12,82,11,14,118.4695652173913,56,156,18,4,3,0,53,13,0.8780487804878049,-10,1,72.17073170731707,2511.7391304347825,3576.9565217391305,47.16634931625411,2021-07-01
157,157,566,14184,29126,863,YPF,Breeze,697,RESO,13,1,1,206.28695652173914,82,11,72,12,33,137.30434782608697,71,169,13,7,2,0,39,10,1.1388888888888888,10,-1,82.45833333333333,2206.086956521739,3970.8695652173915,62.23886480094601,2021-07-01
158,158,566,14184,29127,697,RESO,Icebox,863,YFP,13,0,1,229.2608695652174,95,11,74,12,34,143.18260869565216,66,192,20,8,2,1,27,10,1.2837837837837838,21,-1,95.45945945945945,2531.7391304347825,3837.391304347826,56.55504035720419,2021-07-01
159,159,566,14184,29127,863,YPF,Icebox,697,RESO,10,1,0,194.1391304347826,74,12,95,11,25,133.59130434782608,64,194,13,9,0,4,54,17,0.7789473684210526,-21,1,74.26315789473684,2684.3478260869565,3516.521739130435,49.7667638483965,2021-07-01
160,160,566,14184,29128,697,RESO,Split,863,YFP,7,1,0,172.1,57,12,71,8,17,111.34,41,159,10,7,1,0,38,12,0.8028169014084507,-14,4,57.23943661971831,2412.0,3644.0,46.16086235489221,2021-07-01
161,161,566,14184,29128,863,YPF,Split,697,RESO,13,0,1,208.0,71,8,57,12,22,129.99,63,168,13,6,3,0,25,6,1.2456140350877194,14,-4,71.3859649122807,2303.5,3712.5,56.43151725634904,2021-07-01
162,162,566,14196,29162,3975,KCP,Bind,4010,UNNAMED,13,1,1,233.64444444444445,79,11,52,7,23,143.14444444444445,57,157,12,9,2,4,20,9,1.5192307692307692,27,4,79.4423076923077,2665.0,3838.3333333333335,53.71273712737128,2021-07-01
163,163,566,14196,29162,4010,UNNAMED,Bind,3975,KCP,5,0,0,175.54444444444445,52,7,79,11,14,113.03333333333333,40,149,11,3,1,3,44,16,0.6582278481012658,-27,-4,52.177215189873415,2421.1111111111113,3016.6666666666665,46.68655346489214,2021-07-01
164,164,566,14196,29163,3975,KCP,Ascent,4010,UNNAMED,13,0,1,239.73333333333332,80,8,48,10,15,139.66666666666666,49,147,9,3,2,0,14,5,1.6666666666666667,32,-2,80.3125,2154.4444444444443,3721.1111111111113,64.82723053120165,2021-07-01
135,135,566,14188,29139,1459,EXOT,Bind,318,GENG,1,1,0,136.1,28,7,68,7,12,92.68571428571428,24,77,3,5,0,0,49,13,0.4117647058823529,-40,0,28.176470588235293,2515.0,2765.0,36.8531667140017,2021-07-01
134,134,566,14188,29139,318,GENG,Bind,1459,EXOT,13,0,1,262.65714285714284,68,7,28,7,35,162.12857142857143,37,152,16,1,4,0,2,1,2.4285714285714284,40,0,69.25,2067.1428571428573,4114.285714285715,78.43123704215618,2021-07-01
133,133,566,14188,29138,1459,EXOT,Haven,318,GENG,3,0,0,173.925,46,8,66,8,21,117.775,44,119,7,2,1,0,35,12,0.696969696969697,-20,0,46.31818181818182,2311.25,3100.0,50.9572742022715,2021-07-01
132,132,566,14188,29138,318,GENG,Haven,1459,EXOT,13,1,1,232.9125,66,8,46,8,33,135.825,49,134,16,12,0,3,17,6,1.434782608695652,20,0,66.71739130434783,2464.375,3603.75,55.115394369769206,2021-07-01
485,486,566,14167,29076,4004,UNNAMED,Bind,1137,VIRT,14,1,0,191.77333333333334,99,13,99,17,34,121.66,76,211,17,11,2,0,46,13,1.0,0,-4,99.34343434343434,2863.0,3959.6666666666665,42.49388753056235,2021-07-01
484,485,566,14167,29076,1137,VIRT,Bind,4004,UNNAMED,16,0,1,194.92,99,17,99,13,38,125.29333333333334,64,234,12,11,3,1,51,15,1.0,0,4,99.38383838383838,2941.6666666666665,3790.6666666666665,42.59263456090652,2021-07-01
483,484,566,14167,29075,4004,UNNAMED,Icebox,1137,VIRT,1,0,0,138.0,30,4,65,10,10,85.92857142857143,21,84,8,0,1,0,41,12,0.46153846153846156,-35,-6,30.153846153846153,2361.4285714285716,2866.4285714285716,36.38838475499092,2021-07-01
482,483,566,14167,29075,1137,VIRT,Icebox,4004,UNNAMED,13,1,1,246.81428571428572,65,10,30,4,28,153.5,55,151,16,11,0,1,4,2,2.1666666666666665,35,6,65.93333333333334,2179.285714285714,3855.0,70.43592264831203,2021-07-01
481,482,566,14117,28926,3976,UNNAMED,Icebox,615,C9W,2,1,0,124.53333333333333,28,2,74,13,10,74.08,15,85,8,6,0,2,53,15,0.3783783783783784,-46,-11,28.135135135135137,2444.6666666666665,2792.0,30.30269975456777,2021-07-01
480,481,566,14117,28926,615,C9W,Icebox,3976,UNNAMED,13,0,1,258.04,74,13,28,2,10,154.32,48,138,2,3,4,0,3,2,2.642857142857143,46,11,74.35714285714286,1931.3333333333333,4139.333333333333,79.90334829133587,2021-07-01
479,480,566,14117,28925,3976,UNNAMED,Bind,615,C9W,2,0,0,165.58666666666667,39,5,74,10,12,104.18666666666667,28,131,9,2,2,2,42,15,0.527027027027027,-35,-5,39.16216216216216,2452.0,2702.0,42.490483958673195,2021-07-01
478,479,566,14117,28925,615,C9W,Bind,3976,UNNAMED,13,1,1,251.6,73,10,39,5,36,144.61333333333334,38,171,8,12,2,2,6,4,1.8717948717948718,34,5,73.92307692307692,2390.6666666666665,3691.3333333333335,60.490797546012274,2021-07-01
477,478,566,14116,28923,2367,WS,Icebox,279,LG,4,1,0,158.96470588235294,41,5,77,12,6,101.14117647058823,39,90,8,5,0,2,54,15,0.5324675324675324,-36,-7,41.077922077922075,2438.235294117647,3132.9411764705883,41.48130277442703,2021-07-01
475,476,566,14116,28922,2367,WS,Bind,279,LG,7,0,0,168.91,55,7,78,13,27,108.82,47,134,11,3,4,0,52,13,0.7051282051282052,-23,-6,55.34615384615385,2504.5,3611.0,43.449790377320824,2021-07-01
474,475,566,14116,28922,279,LG,Bind,2367,WS,13,1,1,212.56,78,13,55,7,31,131.26,59,149,8,11,1,1,24,8,1.4181818181818182,23,6,78.56363636363636,2422.0,3725.5,54.194880264244425,2021-07-01
473,474,566,14139,28992,1586,UNNAMED,Haven,318,GENG,4,1,0,148.16470588235293,41,6,75,11,19,90.43529411764706,36,116,20,4,1,0,49,13,0.5466666666666666,-34,-5,41.25333333333333,2412.9411764705883,2893.529411764706,37.47927840078011,2021-07-01
472,473,566,14139,28992,318,GENG,Haven,1586,UNNAMED,13,0,1,243.34117647058824,75,11,41,6,35,148.50588235294117,49,173,25,4,2,1,15,5,1.829268292682927,34,5,75.85365853658537,2374.1176470588234,3637.0588235294117,62.552031714568884,2021-07-01
471,472,566,14139,28991,1586,UNNAMED,Breeze,318,GENG,1,0,0,136.74285714285713,28,3,69,11,6,86.92857142857143,17,93,12,0,1,1,45,14,0.4057971014492754,-41,-8,28.08695652173913,2331.4285714285716,2716.4285714285716,37.28553921568627,2021-07-01
165,165,566,14196,29163,4010,UNNAMED,Ascent,3975,KCP,5,1,0,155.01111111111112,48,10,80,8,19,93.24444444444444,43,116,12,5,0,1,51,14,0.6,-32,2,48.2375,2424.4444444444443,2954.4444444444443,38.46012832263978,2021-07-01
470,471,566,14139,28991,318,GENG,Breeze,1586,UNNAMED,13,1,1,259.35714285714283,69,11,28,3,17,152.75714285714287,47,127,10,11,0,1,2,2,2.4642857142857144,41,8,69.60714285714286,2105.714285714286,3892.8571428571427,72.54409769335143,2021-07-01
468,469,566,14140,28995,1459,EXOT,Bind,827,LE,13,0,1,216.1909090909091,85,14,73,8,37,134.2,59,217,22,6,7,3,39,12,1.1643835616438356,12,6,85.5068493150685,2466.3636363636365,3435.4545454545455,54.412089937338735,2021-07-01
466,467,566,14140,28994,1459,EXOT,Ascent,827,LE,13,1,1,212.46363636363637,82,13,62,10,30,138.5818181818182,62,167,15,7,2,0,27,8,1.3225806451612903,20,3,82.48387096774194,2404.5454545454545,3647.2727272727275,57.63327032136106,2021-07-01
120,120,566,14186,29132,95,NYFU,Ascent,3706,RB,13,0,1,230.21176470588236,71,11,45,7,26,148.1529411764706,57,158,6,5,1,1,14,5,1.5777777777777777,26,4,71.57777777777778,2534.1176470588234,3878.235294117647,58.463324048282274,2021-07-01
121,121,566,14186,29132,3706,RB,Ascent,95,NYFU,4,1,0,172.1764705882353,45,7,71,11,19,110.5764705882353,37,114,8,5,0,0,45,13,0.6338028169014085,-26,-4,45.267605633802816,2298.823529411765,3093.529411764706,48.10133060388946,2021-07-01
122,122,566,14186,29133,95,NYFU,Split,3706,RB,13,0,1,239.88888888888889,78,8,64,10,32,153.92222222222222,67,154,16,3,3,4,23,9,1.21875,14,-2,78.5,2290.0,3640.5555555555557,67.21494420184376,2021-07-01
123,123,566,14186,29133,3706,RB,Split,95,NYFU,5,1,0,203.61111111111111,64,10,78,8,21,118.91111111111111,48,142,12,7,0,2,34,15,0.8205128205128205,-14,2,64.26923076923077,2603.8888888888887,3071.6666666666665,45.66673778536377,2021-07-01
124,124,566,14250,29318,63,NOBL,Haven,3665,PROF,16,1,1,213.98,110,21,103,9,44,140.22,85,248,12,12,5,4,44,17,1.0679611650485437,7,12,110.42718446601941,2932.0,3663.6666666666665,47.82401091405184,2021-07-01
125,125,566,14250,29318,3665,PROF,Haven,63,NOBL,14,0,0,196.57333333333332,103,9,110,21,42,120.44,69,214,15,12,4,5,52,19,0.9363636363636364,-7,-12,103.38181818181818,3027.0,3993.3333333333335,39.78856954079947,2021-07-01
126,126,566,14250,29319,63,NOBL,Bind,3665,PROF,13,0,1,209.88181818181818,83,12,65,10,39,129.9090909090909,56,201,27,10,4,1,32,9,1.2769230769230768,18,2,83.6,2491.818181818182,3850.4545454545455,52.13425757022984,2021-07-01
127,127,566,14250,29319,3665,PROF,Bind,63,NOBL,9,1,0,178.22727272727272,65,10,83,12,21,118.33636363636364,47,175,9,11,2,2,48,15,0.7831325301204819,-18,-2,65.25301204819277,2483.6363636363635,3445.4545454545455,47.64641288433383,2021-07-01
128,128,566,14248,29312,3324,SOAR,Ascent,2525,CD,13,1,1,226.23,82,8,64,13,36,138.23,54,193,11,7,2,3,26,10,1.28125,18,-5,82.5625,2280.5,3569.0,60.61390046042534,2021-07-01
129,129,566,14248,29312,2525,CD,Ascent,3324,SOAR,7,0,0,190.46,64,13,82,8,32,115.98,50,156,18,3,2,1,45,14,0.7804878048780488,-18,5,64.39024390243902,2469.5,3245.0,46.96497266653169,2021-07-01
130,130,566,14248,29313,3324,SOAR,Haven,2525,CD,13,0,1,215.57391304347826,87,12,83,11,32,134.2173913043478,71,139,11,8,0,3,36,13,1.0481927710843373,4,1,87.3855421686747,2615.6521739130435,3610.0,51.313164893617014,2021-07-01
131,131,566,14248,29313,2525,CD,Haven,3324,SOAR,10,1,0,202.72173913043477,83,11,87,12,24,123.85217391304347,61,156,10,5,2,2,41,14,0.9540229885057471,-4,-1,83.27586206896552,2616.521739130435,3732.1739130434785,47.33466267863077,2021-07-01
469,470,566,14140,28995,827,LE,Bind,1459,EXOT,9,1,0,191.71818181818182,73,8,85,14,24,131.04545454545453,65,157,11,10,2,1,44,14,0.8588235294117647,-12,-6,73.28235294117647,2518.181818181818,3400.4545454545455,52.03971119133574,2021-07-01
166,166,566,14193,29153,116,NRG,Bind,3071,ILUZ,13,0,1,234.1529411764706,73,10,50,7,28,138.81176470588235,49,140,11,4,4,3,14,6,1.46,23,3,73.56,2571.176470588235,3908.823529411765,53.98764584763212,2021-07-01
467,468,566,14140,28994,827,LE,Ascent,1459,EXOT,9,0,0,179.03636363636363,62,10,82,13,23,119.0909090909091,50,194,19,6,1,1,55,14,0.7560975609756098,-20,-3,62.28048780487805,2579.5454545454545,3359.090909090909,46.167400881057276,2021-07-01
168,168,566,14193,29154,116,NRG,Breeze,3071,ILUZ,13,1,1,241.96,70,9,41,6,19,146.62666666666667,43,112,7,9,0,4,11,6,1.7073170731707317,29,3,70.46341463414635,2334.0,3854.6666666666665,62.8220508426164,2021-07-01
203,203,566,14183,29124,971,ABLE,Bind,590,RNG,2,1,0,139.45333333333335,34,5,69,10,15,88.76,27,111,10,3,0,0,45,13,0.4927536231884058,-35,-5,34.21739130434783,2533.3333333333335,2918.6666666666665,35.036842105263155,2021-07-01
204,204,566,14236,29276,215,T1,Icebox,2929,UNNAMED,13,1,1,237.5888888888889,78,11,52,7,37,157.35555555555555,58,148,14,10,1,0,15,5,1.5,26,4,78.71153846153847,2240.5555555555557,3770.0,70.23059757004711,2021-07-01
205,205,566,14236,29276,2929,UNNAMED,Icebox,215,T1,5,0,0,183.82222222222222,52,7,78,11,14,115.82222222222222,40,141,10,2,2,2,44,14,0.6666666666666666,-26,-4,52.17948717948718,2506.6666666666665,3047.222222222222,46.20567375886525,2021-07-01
206,206,566,14236,29277,215,T1,Ascent,2929,UNNAMED,13,0,1,238.82105263157894,83,14,54,5,37,142.46315789473684,58,183,20,6,1,0,17,6,1.537037037037037,29,9,83.68518518518519,2486.842105263158,4015.2631578947367,57.286772486772485,2021-07-01
207,207,566,14236,29277,2929,UNNAMED,Ascent,215,T1,6,1,0,170.56842105263158,54,5,83,14,26,105.61052631578947,37,114,10,5,2,2,50,15,0.6506024096385542,-29,-9,54.31325301204819,2517.3684210526317,3021.5789473684213,41.95274932051014,2021-07-01
208,208,566,14235,29273,978,GHST,Ascent,848,ZM,13,1,1,196.3304347826087,79,11,75,12,24,124.25217391304348,63,147,10,6,1,0,35,10,1.0533333333333332,4,-1,79.32,2368.695652173913,3800.0,52.45594713656387,2021-07-01
209,209,566,14235,29273,848,ZM,Ascent,978,GHST,10,0,0,183.80869565217392,75,12,79,11,40,117.18260869565218,54,178,16,4,1,0,41,12,0.9493670886075949,-4,1,75.50632911392405,2620.8695652173915,3524.3478260869565,44.71134704711347,2021-07-01
210,210,566,14235,29274,978,GHST,Haven,848,ZM,13,0,1,206.74285714285713,78,15,48,6,25,127.37142857142857,57,130,11,7,4,1,23,7,1.625,30,9,78.52083333333333,2128.095238095238,3838.5714285714284,59.85231595435221,2021-07-01
211,211,566,14235,29274,848,ZM,Haven,978,GHST,8,1,0,134.15238095238095,48,6,78,15,8,82.00952380952381,36,117,20,10,1,1,53,14,0.6153846153846154,-30,-9,48.1025641025641,2519.0476190476193,3552.3809523809523,32.555765595463136,2021-07-01
212,212,566,14247,29309,305,100T,Breeze,575,UNNAMED,13,1,1,219.32380952380953,83,9,68,12,33,135.71428571428572,64,155,13,11,1,2,26,9,1.2205882352941178,15,-3,83.48529411764706,2340.0,3761.4285714285716,57.997557997558,2021-07-01
213,213,566,14247,29309,575,UNNAMED,Breeze,305,100T,8,0,0,194.17142857142858,68,12,83,9,18,118.96190476190476,55,160,13,5,2,2,47,15,0.8192771084337349,-15,3,68.21686746987952,2474.7619047619046,3407.1428571428573,48.07004040792765,2021-07-01
230,230,566,14147,29016,141,C9,Haven,751,303,13,1,1,213.9,83,9,76,14,37,136.4909090909091,65,188,5,7,3,5,37,14,1.0921052631578947,7,-5,83.48684210526316,2557.7272727272725,3454.5454545454545,53.364137195663766,2021-07-01
229,229,566,14147,29015,751,303,Icebox,141,C9,10,0,0,187.87826086956522,71,8,88,15,28,122.95652173913044,56,129,18,7,2,0,52,13,0.8068181818181818,-17,-7,71.31818181818181,2349.5652173913045,3566.086956521739,52.33160621761658,2021-07-01
214,214,566,14247,29310,305,100T,Icebox,575,UNNAMED,13,0,1,237.1,77,14,46,4,26,148.06666666666666,69,174,11,4,2,1,19,6,1.673913043478261,31,10,77.56521739130434,2330.0,3965.0,63.54792560801144,2021-07-01
228,228,566,14147,29015,141,C9,Icebox,751,303,13,1,1,218.2086956521739,88,15,71,8,29,131.8608695652174,59,194,15,11,1,0,37,10,1.2394366197183098,17,7,88.40845070422536,2501.304347826087,3711.7391304347825,52.716843386059445,2021-07-01
227,227,566,14245,29304,3569,COT,Ascent,3771,DZ,10,1,0,200.37391304347827,79,12,86,11,31,129.4608695652174,71,190,21,8,3,2,39,13,0.9186046511627907,-7,1,79.36046511627907,2560.4347826086955,3565.217391304348,50.56206486670063,2021-07-01
226,226,566,14245,29304,3771,DZ,Ascent,3569,COT,13,0,1,217.6,86,11,79,12,33,130.36521739130436,52,195,22,8,4,2,35,12,1.0886075949367089,7,-1,86.41772151898734,2603.0434782608695,3780.8695652173915,50.081843995323204,2021-07-01
225,225,566,14245,29303,3569,COT,Haven,3771,DZ,13,0,0,204.4,99,17,101,11,47,130.24285714285713,66,241,23,8,5,3,52,18,0.9801980198019802,-2,6,99.46534653465346,2859.285714285714,3730.3571428571427,45.55083687234574,2021-07-01
224,224,566,14245,29303,3771,DZ,Haven,3569,COT,15,1,1,205.68571428571428,101,11,99,17,34,133.18571428571428,73,233,13,12,3,3,46,15,1.02020202020202,2,-6,101.34343434343434,2907.5,3761.0714285714284,45.80764033902469,2021-07-01
223,223,566,14229,29256,1021,TLP,Split,603,XSET,8,1,0,171.76190476190476,60,9,83,12,19,109.4095238095238,56,157,17,6,1,0,49,13,0.7228915662650602,-23,-3,60.2289156626506,2457.6190476190477,3263.809523809524,44.518504165859326,2021-07-01
222,222,566,14229,29256,603,XSET,Split,1021,TLP,13,0,1,221.82857142857142,83,12,60,9,20,136.31428571428572,54,196,16,6,1,2,24,9,1.3833333333333333,23,3,83.33333333333333,2409.0476190476193,3800.9523809523807,56.584305198655855,2021-07-01
221,221,566,14229,29255,1021,TLP,Icebox,603,XSET,4,1,0,152.6235294117647,38,10,76,7,13,98.92941176470588,26,146,13,9,0,1,50,14,0.5,-38,3,38.171052631578945,2525.294117647059,2977.0588235294117,39.17540181691125,2021-07-01
220,220,566,14229,29255,603,XSET,Icebox,1021,TLP,13,0,1,240.8470588235294,76,7,38,10,20,143.18823529411765,47,164,22,4,5,0,11,4,2.0,38,-3,76.52631578947368,2210.0,3914.705882352941,64.79105669417089,2021-07-01
219,219,566,14234,29271,799,UNNAMED,Ascent,75,ENVY,9,1,0,192.12727272727273,73,11,83,11,21,120.49090909090908,49,191,20,4,3,1,45,14,0.8795180722891566,-10,0,73.25301204819277,2583.6363636363635,3407.7272727272725,46.63617171006334,2021-07-01
218,218,566,14234,29271,75,ENVY,Ascent,799,UNNAMED,13,0,1,217.56363636363636,83,11,73,11,29,150.42727272727274,63,183,9,7,0,1,32,10,1.1369863013698631,10,0,83.3972602739726,2391.818181818182,3868.6363636363635,62.89243633599392,2021-07-01
217,217,566,14234,29270,799,UNNAMED,Haven,75,ENVY,9,1,0,188.57272727272726,68,9,80,13,22,124.60909090909091,61,167,4,8,1,0,41,12,0.85,-12,-4,68.275,2459.090909090909,3541.818181818182,50.6728280961183,2021-07-01
216,216,566,14234,29270,75,ENVY,Haven,799,UNNAMED,13,0,1,210.42727272727274,80,13,68,9,31,133.8272727272727,59,185,7,7,2,1,31,9,1.1764705882352942,12,4,80.45588235294117,2590.4545454545455,3975.0,51.66169503421653,2021-07-01
215,215,566,14247,29310,575,UNNAMED,Icebox,305,100T,5,1,0,158.27777777777777,46,4,77,14,10,109.42222222222222,44,78,13,5,0,0,48,13,0.5974025974025974,-31,-10,46.12987012987013,2457.222222222222,3065.0,44.530861406285325,2021-07-01
167,167,566,14193,29153,3071,ILUZ,Bind,116,NRG,4,1,0,176.9764705882353,50,7,73,10,27,104.4235294117647,29,166,11,5,2,0,43,12,0.684931506849315,-23,-3,50.36986301369863,2597.0588235294117,3227.0588235294117,40.2083805209513,2021-07-01
202,202,566,14183,29124,590,RNG,Bind,971,ABLE,13,0,1,248.30666666666667,69,10,34,5,19,147.86666666666667,54,149,19,3,1,2,10,4,2.0294117647058822,35,5,69.55882352941177,1778.6666666666667,3804.0,83.13343328335831,2021-07-01
201,201,566,14183,29123,971,ABLE,Breeze,590,RNG,6,1,0,156.76842105263157,48,6,80,13,13,102.45263157894736,39,105,8,5,1,1,51,14,0.6,-32,-7,48.1625,2403.157894736842,3181.5789473684213,42.632501095050365,2021-07-01
231,231,566,14147,29016,751,303,Haven,141,C9,9,0,0,196.16363636363636,76,14,83,9,21,127.34545454545454,65,134,8,6,2,0,39,13,0.9156626506024096,-7,5,76.25301204819277,2557.7272727272725,3552.2727272727275,49.78851963746224,2021-07-01
199,199,566,14133,28974,615,C9W,Haven,279,LG,4,1,0,180.04705882352943,50,8,76,9,20,107.61176470588235,41,159,5,7,0,2,46,15,0.6578947368421053,-26,-1,50.26315789473684,2599.4117647058824,2951.764705882353,41.398506449422946,2021-07-01
169,169,566,14193,29154,3071,ILUZ,Breeze,116,NRG,2,0,0,165.6,41,6,70,9,16,106.70666666666666,28,89,6,2,0,0,47,13,0.5857142857142857,-29,-3,41.22857142857143,2640.0,2989.3333333333335,40.41919191919192,2021-07-01
200,200,566,14183,29123,590,RNG,Breeze,971,ABLE,13,0,1,222.10526315789474,80,13,48,6,23,132.6315789473684,45,147,8,7,1,0,17,6,1.6666666666666667,32,7,80.47916666666667,2272.1052631578946,4169.473684210527,58.37387074357193,2021-07-01
171,171,566,14192,29150,3346,UNNAMED,Ascent,281,RISE,8,1,0,191.75238095238095,68,9,88,13,35,125.22857142857143,62,166,7,7,4,2,43,15,0.7727272727272727,-20,-4,68.39772727272727,2675.2380952380954,3438.5714285714284,46.81025275898896,2021-07-01
