,index,eventId,seriesId,matchId,teamId,teamName,map,oppTeamId,oppTeamName,teamScore,atkFirst,won,acs,kills,firstKills,deaths,firstDeaths,assists,damage,headshots,bodyshots,legshots,plants,defusals,clutches,clutchOpponents,clutchOpportunities,KDR,KD,FKD,KDA,spentCreds,loadoutValue,avgEconRating,dates
429,430,566,14174,29097,4007,UNNAMED,Haven,3700,FNR,11,0,0,207.03333333333333,87,13,85,11,36,137.00833333333333,61,196,18,8,3,2,32,13,1.0235294117647058,2,2,87.4235294117647,2585.8333333333335,3720.0,52.98420883016435,2021-07-01
428,429,566,14174,29097,3700,FNR,Haven,4007,UNNAMED,13,1,1,202.11666666666667,85,11,87,13,21,124.08333333333333,52,193,15,8,5,4,46,15,0.9770114942528736,-2,-2,85.24137931034483,2410.8333333333335,3308.3333333333335,51.4690632561355,2021-07-01
427,428,566,14174,29096,4007,UNNAMED,Ascent,3700,FNR,7,0,0,170.2,57,8,77,12,28,118.7,45,162,19,3,2,1,43,13,0.7402597402597403,-20,-4,57.36363636363637,2521.0,3358.0,47.084490281634274,2021-07-01
426,427,566,14174,29096,3700,FNR,Ascent,4007,UNNAMED,13,1,1,218.19,77,12,57,8,36,132.61,57,168,12,6,3,2,24,8,1.3508771929824561,20,4,77.63157894736842,2380.0,3642.0,55.71848739495799,2021-07-01
425,426,566,14176,29103,4008,UNNAMED,Icebox,417,IMT,3,1,0,159.6,40,3,72,13,15,102.15,27,116,11,3,1,1,49,14,0.5555555555555556,-32,-10,40.208333333333336,2468.125,3021.875,41.38769308685743,2021-07-01
424,425,566,14176,29103,417,IMT,Icebox,4008,UNNAMED,13,0,1,253.45,72,13,40,3,32,155.65,54,125,11,4,1,2,12,5,1.8,32,10,72.8,2259.375,4076.25,68.89073305670816,2021-07-01
423,424,566,14176,29102,4008,UNNAMED,Ascent,417,IMT,4,0,0,177.83529411764707,48,10,73,7,27,116.47058823529412,36,132,19,1,1,0,39,13,0.6575342465753424,-25,3,48.36986301369863,2385.294117647059,3035.8823529411766,48.828606658446354,2021-07-01
422,423,566,14176,29102,417,IMT,Ascent,4008,UNNAMED,13,1,1,238.10588235294117,73,7,48,10,36,151.3294117647059,68,175,8,8,1,4,20,8,1.5208333333333333,25,-3,73.75,2548.823529411765,3890.5882352941176,59.37225940456958,2021-07-01
421,422,566,14177,29106,2613,NORC,Split,771,LRS,7,0,0,204.82,70,10,80,10,23,124.11,51,166,15,8,2,0,39,13,0.875,-10,0,70.2875,2429.5,3364.0,51.08458530561844,2021-07-01
420,421,566,14177,29106,771,LRS,Split,2613,NORC,13,1,1,235.84,80,10,70,10,30,145.34,58,228,21,10,4,4,31,11,1.1428571428571428,10,0,80.42857142857143,2540.5,3718.0,57.20921078527849,2021-07-01
